ISO3,Country,UNICEF Region,Indicator,Data Source,Year,Sex,Age,DISAGG_CATEGORY,DISAGG,Value
BGD,Bangladesh,South Asia,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-24,Wealth quintile,Quintile 5,31.35190200805664
BGD,Bangladesh,South Asia,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Education,higher secondary+,27.301240921020508
BGD,Bangladesh,South Asia,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Education,pre-primary or none,61.9965705871582
BGD,Bangladesh,South Asia,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Education,primary,57.69533920288086
BGD,Bangladesh,South Asia,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Education,secondary,47.95298385620117
BGD,Bangladesh,South Asia,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Residence,Rural,48.0942497253418
BGD,Bangladesh,South Asia,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Residence,Urban,35.77424240112305
BGD,Bangladesh,South Asia,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Wealth quintile,Quintile 1,55.57734680175781
BGD,Bangladesh,South Asia,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Wealth quintile,Quintile 2,51.8336296081543
BGD,Bangladesh,South Asia,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Wealth quintile,Quintile 3,48.83811569213867
BGD,Bangladesh,South Asia,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Wealth quintile,Quintile 4,45.38748550415039
BGD,Bangladesh,South Asia,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Wealth quintile,Quintile 5,33.26369094848633
BGD,Bangladesh,South Asia,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,20-24,Age,20-24,40.509002685546875
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-19,Age,15-19,49.492225646972656
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-19,Age,15-19,49.5179557800293
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-24,Education,do not know,0.0
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-24,Education,fundamental 1,51.94573974609375
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-24,Education,fundamental 2,41.31013488769531
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-24,Education,preschool or none,58.58219528198242
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-24,Education,secondary or more,27.811433792114258
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-24,Residence,Rural,52.51249313354492
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-24,Residence,Urban,42.97812271118164
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-24,Wealth quintile,Quintile 1,59.89061737060547
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-24,Wealth quintile,Quintile 2,56.471744537353516
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-24,Wealth quintile,Quintile 3,47.90380859375
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-24,Wealth quintile,Quintile 4,47.21038055419922
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-24,Wealth quintile,Quintile 5,38.31304168701172
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-24,Education,fundamental 1,54.25926971435547
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-24,Education,fundamental 2,46.595951080322266
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-24,Education,preschool or none,45.26350784301758
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-24,Education,secondary or more,22.908540725708008
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-24,Residence,Rural,52.110137939453125
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-24,Residence,Urban,40.554996490478516
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-24,Wealth quintile,Quintile 1,47.8896369934082
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-24,Wealth quintile,Quintile 2,54.47339630126953
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-24,Wealth quintile,Quintile 3,53.500579833984375
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-24,Wealth quintile,Quintile 4,50.01797866821289
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-24,Wealth quintile,Quintile 5,35.30769729614258
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Education,do not know,0.0
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Education,fundamental 1,47.977691650390625
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Education,fundamental 2,35.012062072753906
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Education,preschool or none,52.48722839355469
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Education,secondary or more,24.111642837524414
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Residence,Rural,51.11236572265625
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Residence,Urban,36.68177032470703
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Wealth quintile,Quintile 1,53.98345947265625
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Wealth quintile,Quintile 2,54.289859771728516
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Wealth quintile,Quintile 3,48.54094314575195
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Wealth quintile,Quintile 4,42.714813232421875
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,15-49,Wealth quintile,Quintile 5,32.311527252197266
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-49,Education,do not know,60.452980041503906
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-49,Education,fundamental 1,45.526947021484375
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-49,Education,fundamental 2,37.677223205566406
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-49,Education,preschool or none,40.120548248291016
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-49,Education,secondary or more,20.63953399658203
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-49,Residence,Rural,44.42424392700195
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-49,Residence,Urban,30.939319610595703
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-49,Wealth quintile,Quintile 1,46.408409118652344
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-49,Wealth quintile,Quintile 2,43.40576171875
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-49,Wealth quintile,Quintile 3,44.32832717895508
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-49,Wealth quintile,Quintile 4,37.56773376464844
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,15-49,Wealth quintile,Quintile 5,27.19236946105957
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Female,20-24,Age,20-24,45.50297164916992
CAF,Central African Republic,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2019,2019,Male,20-24,Age,20-24,41.972755432128906
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-19,Age,15-19,61.79999923706055
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-19,Age,15-19,57.79999923706055
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-24,Education,aucun,74.69999694824219
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-24,Education,primaire,66.5999984741211
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-24,Education,secondaire et +,41.29999923706055
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-24,Residence,Rural,73.5
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-24,Residence,Urban,49.099998474121094
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-24,Wealth quintile,Quintile 1,79.5999984741211
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-24,Wealth quintile,Quintile 2,73.4000015258789
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-24,Wealth quintile,Quintile 3,62.79999923706055
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-24,Wealth quintile,Quintile 4,51.5
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-24,Wealth quintile,Quintile 5,44.099998474121094
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-24,Education,aucun,79.69999694824219
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-24,Education,primaire,70.5
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-24,Education,secondaire et +,42.599998474121094
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-24,Residence,Rural,68.69999694824219
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-24,Residence,Urban,47.20000076293945
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-24,Wealth quintile,Quintile 1,76.9000015258789
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-24,Wealth quintile,Quintile 2,65.5999984741211
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-24,Wealth quintile,Quintile 3,56.29999923706055
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-24,Wealth quintile,Quintile 4,53.599998474121094
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-24,Wealth quintile,Quintile 5,39.099998474121094
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-49,Education,aucun,69.5
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-49,Education,primaire,54.599998474121094
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-49,Education,secondaire et +,35.0
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-49,Residence,Rural,70.5
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-49,Residence,Urban,44.099998474121094
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-49,Wealth quintile,Quintile 1,79.0999984741211
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-49,Wealth quintile,Quintile 2,71.69999694824219
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-49,Wealth quintile,Quintile 3,60.20000076293945
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-49,Wealth quintile,Quintile 4,46.70000076293945
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,15-49,Wealth quintile,Quintile 5,36.29999923706055
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-49,Education,aucun,73.5999984741211
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-49,Education,primaire,60.79999923706055
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-49,Education,secondaire et +,32.70000076293945
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-49,Residence,Rural,63.900001525878906
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-49,Residence,Urban,41.70000076293945
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-49,Wealth quintile,Quintile 1,71.4000015258789
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-49,Wealth quintile,Quintile 2,67.80000305175781
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-49,Wealth quintile,Quintile 3,55.79999923706055
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-49,Wealth quintile,Quintile 4,44.400001525878906
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,15-49,Wealth quintile,Quintile 5,29.700000762939453
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Female,20-24,Age,20-24,55.29999923706055
CIV,C̫te d'Ivoire,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2016,2016,Male,20-24,Age,20-24,53.599998474121094
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Female,15-19,Age,15-19,65.65283966064453
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Male,15-19,Age,15-19,56.7485237121582
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Female,15-24,Education,higher,34.66982650756836
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Female,15-24,Education,pre-primary/none,74.07951354980469
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Female,15-24,Education,primary,71.6712646484375
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Female,15-24,Education,secondary 1,70.41734313964844
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Female,15-24,Education,secondary 2,55.300575256347656
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Female,15-24,Education,secondary and more,57.19486999511719
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Female,15-24,Residence,Rural,70.86418914794922
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Female,15-24,Residence,Urban,54.01225662231445
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Female,15-24,Wealth quintile,Quintile 1,77.35350799560547
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Female,15-24,Wealth quintile,Quintile 2,72.14724731445312
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Female,15-24,Wealth quintile,Quintile 3,67.37004089355469
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Female,15-24,Wealth quintile,Quintile 4,54.359554290771484
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Female,15-24,Wealth quintile,Quintile 5,49.88909912109375
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Male,15-24,Education,higher,31.129186630249023
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Male,15-24,Education,pre-primary/none,62.73419952392578
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Male,15-24,Education,primary,61.27213668823242
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Male,15-24,Education,secondary 1,59.651859283447266
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Male,15-24,Education,secondary 2,49.25689697265625
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Male,15-24,Education,secondary and more,49.962825775146484
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Male,15-24,Residence,Rural,58.075592041015625
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Male,15-24,Residence,Urban,46.5145378112793
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Male,15-24,Wealth quintile,Quintile 1,63.9731330871582
COD,Democratic Republic of the Congo,West and Central Africa,Per cent of people expressing discriminatory attitudes towards people living with HIV,Multiple Indicator Cluster Survey 2018,2018,Male,15-24,Wealth quintile,Quintile 2,65.02822875976562
